Amount,Date,Sender,Recipient,Note
-82.92,2017-04-04T00:00:00.000Z,Tyrell Padilla,Adam Sanders,Dinner on Saturday 🍌😎
61.83,2017-04-04T00:00:00.000Z,Adam Sanders,Carlo Hodge,Lunch on Wednesday 🍳😍
30.88,2017-04-05T00:00:00.000Z,Adam Sanders,Carlo Hodge,Snacks on Friday 🥦🥯
86.06,2017-04-05T00:00:00.000Z,,Qt 761 07007610,Other Services
95.71,2017-04-06T00:00:00.000Z,,Mta*metrocard Machine,Other Services
12.16,2017-04-06T00:00:00.000Z,,ConEd,Other Services
1.05,2017-04-07T00:00:00.000Z,,Mta*metrocard Machine,Phone/Cable
-39.56,2017-04-07T00:00:00.000Z,Jamal Cole,Adam Sanders,Snacks on Wednesday 🤑🥚
41.23,2017-04-08T00:00:00.000Z,,Art Bar,Other Services
-47.46,2017-04-08T00:00:00.000Z,Omar Nairn,Adam Sanders,Groceries on Thursday 🍗🥨
6.85,2017-04-09T00:00:00.000Z,,Qt 798 07007982,Phone/Cable
-58.69,2017-04-09T00:00:00.000Z,Boyd Mcclain,Adam Sanders,Groceries on Monday 🍈🤐
70.24,2017-04-10T00:00:00.000Z,,Bp#Azk12 Azk12,Other Services
-62.72,2017-04-10T00:00:00.000Z,Nafeesa Mitchell,Adam Sanders,Drinks on Thursday 🥯🍇
66.48,2017-04-11T00:00:00.000Z,,Marta Atlanta 00000018,Phone/Cable
71.4,2017-04-11T00:00:00.000Z,Adam Sanders,Jamal Cole,Lunch on Thursday 🧄🍊
81.57,2017-04-12T00:00:00.000Z,,Publix #719,Phone/Cable
30.09,2017-04-12T00:00:00.000Z,,Wagaya,Phone/Cable
11.14,2017-04-13T00:00:00.000Z,,ConEd,Merchandise
42.89,2017-04-13T00:00:00.000Z,Adam Sanders,Gemma Avery,Breakfast on Sunday 🍗🥭
45.47,2017-04-14T00:00:00.000Z,Adam Sanders,Tyriq Chavez,Breakfast on Saturday 😍🌶
74.15,2017-04-14T00:00:00.000Z,,Sunoco 0718764400,Dining
78.63,2017-04-15T00:00:00.000Z,Adam Sanders,Malachi Cannon,Dinner on Wednesday ⛄️🍅
48.74,2017-04-15T00:00:00.000Z,,Publix #719,Phone/Cable
79.36,2017-04-16T00:00:00.000Z,,Exxonmobil 48085070,Travel
32.77,2017-04-16T00:00:00.000Z,,Comcast Atlanta Cs 1x,Travel
46.68,2017-04-17T00:00:00.000Z,,Mercantile And Mas,Phone/Cable
67.5,2017-04-17T00:00:00.000Z,,Anticos Pizza,Phone/Cable
-5.54,2017-04-18T00:00:00.000Z,Kitty John,Adam Sanders,Lunch on Saturday 🧄🥙
76.06,2017-04-18T00:00:00.000Z,,Amagansett Supersav,Dining
8.91,2017-04-19T00:00:00.000Z,,Playstationnetwork,Health Care
43.5,2017-04-19T00:00:00.000Z,,Krispy Kreme Dough,Merchandise
82.53,2017-04-20T00:00:00.000Z,,Publix #719,Dining
-61.97,2017-04-20T00:00:00.000Z,Renae Hutchinson,Adam Sanders,Drinks on Wednesday 🍞🧇
4.01,2017-04-21T00:00:00.000Z,,Bp#1658533discount Zone,Merchandise
93.03,2017-04-21T00:00:00.000Z,,CVS,Phone/Cable
78.66,2017-04-22T00:00:00.000Z,Adam Sanders,Renae Hutchinson,Snacks on Thursday 🍍🥦
15.9,2017-04-22T00:00:00.000Z,,Trader Joe's #539 Qps,Other Services
89.5,2017-04-23T00:00:00.000Z,,Publix #719,Merchandise
-6.33,2017-04-23T00:00:00.000Z,Oran Crane,Adam Sanders,Snacks on Friday 🍗🥥
56.12,2017-04-24T00:00:00.000Z,Adam Sanders,Nabilah Knowles,Brunch on Wednesday 👻🙏
48.99,2017-04-24T00:00:00.000Z,,Krispy Kreme Dough,Health Care
26.9,2017-04-25T00:00:00.000Z,Adam Sanders,Camden Merritt,Dinner on Thursday 🌭🤯
-82.76,2017-04-25T00:00:00.000Z,Camron Ramirez,Adam Sanders,Lunch on Thursday 🍔🧀
32.51,2017-04-26T00:00:00.000Z,Adam Sanders,Paula Gallagher,Dinner on Sunday 🍞🤯
40.5,2017-04-26T00:00:00.000Z,,Tm *atlanta Hawks,Dining
38.72,2017-04-27T00:00:00.000Z,Adam Sanders,Kitty John,Brunch on Monday 🤐🥳
-28.46,2017-04-27T00:00:00.000Z,Paula Gallagher,Adam Sanders,Brunch on Monday 🍈🥕
28.94,2017-04-28T00:00:00.000Z,Adam Sanders,Abdurahman Fox,Tickets on Friday 🥪🌶
21.53,2017-04-28T00:00:00.000Z,,Trader Joe's #539 Qps,Other Services
62.31,2017-04-29T00:00:00.000Z,Adam Sanders,Amelia-Lily Pham,Snacks on Sunday 🤯🥩
-99.17,2017-04-29T00:00:00.000Z,Cory Maguire,Adam Sanders,Dinner on Saturday 🍑🤑
94.64,2017-04-30T00:00:00.000Z,Adam Sanders,Norman Liu,Dinner on Wednesday 🙏🥚
-52.25,2017-04-30T00:00:00.000Z,Jo Pena,Adam Sanders,Tickets on Monday 😋🧅
-21.41,2017-05-01T00:00:00.000Z,Sara Harrington,Adam Sanders,Dinner on Monday 🥖🍉
35.2,2017-05-01T00:00:00.000Z,Adam Sanders,Thelma Stacey,Groceries on Tuesday 🙏😋
57.23,2017-05-02T00:00:00.000Z,,Mercedes Benz Stadium,Dining
14.98,2017-05-02T00:00:00.000Z,,Publix #282,Phone/Cable
84.97,2017-05-03T00:00:00.000Z,,Publix #282,Travel
73.76,2017-05-03T00:00:00.000Z,,Comcast Atlanta Cs 1x,Phone/Cable
46.79,2017-05-04T00:00:00.000Z,,Amagansett Supersav,Phone/Cable
-55.62,2017-05-04T00:00:00.000Z,Kelsi Burt,Adam Sanders,Breakfast on Tuesday ⛄️🍒
74.58,2017-05-05T00:00:00.000Z,,Shell Oil 57446255408,Health Care
28.92,2017-05-05T00:00:00.000Z,Adam Sanders,Tyriq Chavez,Tickets on Thursday 😋🥔
-50.51,2017-05-06T00:00:00.000Z,Carlo Hodge,Adam Sanders,Tickets on Saturday 🧆🍓
90.58,2017-05-06T00:00:00.000Z,Adam Sanders,Norman Liu,Groceries on Sunday 🍳🍍
-8.68,2017-05-07T00:00:00.000Z,Tyrell Padilla,Adam Sanders,Groceries on Thursday 🥐🍉
91.96,2017-05-07T00:00:00.000Z,,Tm *atlanta Hawks,Other Services
22.04,2017-05-08T00:00:00.000Z,,ConEd,Health Care
70.91,2017-05-08T00:00:00.000Z,,Amagansett Supersav,Dining
32.28,2017-05-09T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
28.57,2017-05-09T00:00:00.000Z,Adam Sanders,Theodor Larson,Drinks on Tuesday 🧆🥵
-30.39,2017-05-10T00:00:00.000Z,Amelia-Lily Pham,Adam Sanders,Tickets on Thursday 🍓🧆
85.08,2017-05-10T00:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
80.07,2017-05-11T00:00:00.000Z,,Publix #719,Dining
74.88,2017-05-11T00:00:00.000Z,,Publix #719,Health Care
45.65,2017-05-12T00:00:00.000Z,Adam Sanders,Boyd Mcclain,Dinner on Friday 🧄🥑
5.03,2017-05-12T00:00:00.000Z,,Bp#Azk12 Azk12,Other Services
22.8,2017-05-13T00:00:00.000Z,,Bull Mccabes,Other Services
15.27,2017-05-13T00:00:00.000Z,Adam Sanders,Norman Liu,Groceries on Saturday 🧄🥝
-29.99,2017-05-14T00:00:00.000Z,Kitty John,Adam Sanders,Breakfast on Friday 🤗🍒
38.91,2017-05-14T00:00:00.000Z,Adam Sanders,Jadene Holding,Tickets on Monday 🍑🥙
0,2017-05-15T00:00:00.000Z,,Uber Eats Azk12,Merchandise
-31.53,2017-05-15T00:00:00.000Z,Tyriq Chavez,Adam Sanders,Drinks on Sunday 🧇🍇
85.97,2017-05-16T00:00:00.000Z,,Amer Mus Nat Hist Tix,Health Care
48.63,2017-05-16T00:00:00.000Z,Adam Sanders,Missy Hulme,Snacks on Monday 🥳🧈
59.15,2017-05-17T00:00:00.000Z,,Gu's Dumplings,Other Services
4.37,2017-05-17T00:00:00.000Z,,Mta*metrocard Machine,Other Services
8.15,2017-05-18T00:00:00.000Z,Adam Sanders,Abdurahman Fox,Breakfast on Wednesday 🧅🍇
11.33,2017-05-18T00:00:00.000Z,Adam Sanders,Todd Mcmillan,Tickets on Tuesday 🍒🥳
82.66,2017-05-19T00:00:00.000Z,Adam Sanders,Kelsi Burt,Brunch on Tuesday 🍌🥪
-72.23,2017-05-19T00:00:00.000Z,Kitty John,Adam Sanders,Tickets on Thursday 🍟🌮
69.09,2017-05-20T00:00:00.000Z,,Qt 838 07008386,Phone/Cable
35.11,2017-05-20T00:00:00.000Z,Adam Sanders,Missy Hulme,Tickets on Thursday 🍅🍓
28.96,2017-05-21T00:00:00.000Z,,Publix #719,Dining
-69,2017-05-21T00:00:00.000Z,Murtaza Becker,Adam Sanders,Brunch on Saturday 🥓🍆
-62.42,2017-05-22T00:00:00.000Z,Sara Harrington,Adam Sanders,Lunch on Wednesday 🤯🍍
50.01,2017-05-22T00:00:00.000Z,,Mezcalitos Group L,Other Services
64.37,2017-05-23T00:00:00.000Z,,Publix #719,Health Care
77.91,2017-05-23T00:00:00.000Z,,Ingles Gas Exp #133,Health Care
99.32,2017-05-24T00:00:00.000Z,Adam Sanders,Shaurya Horne,Snacks on Monday 🥝🥭
-66.35,2017-05-24T00:00:00.000Z,Theo Freeman,Adam Sanders,Breakfast on Sunday 🍑🙏
81.16,2017-05-25T00:00:00.000Z,,La Abuela Ii,Phone/Cable
-4.13,2017-05-25T00:00:00.000Z,Nabilah Knowles,Adam Sanders,Tickets on Sunday 🍅🥒
-31.19,2017-05-26T00:00:00.000Z,Missy Hulme,Adam Sanders,Breakfast on Monday 🥭🍉
8.85,2017-05-26T00:00:00.000Z,,Chevron 0302330,Merchandise
57.46,2017-05-27T00:00:00.000Z,,Exxonmobil 48085070,Travel
80.31,2017-05-27T00:00:00.000Z,,Bp#4979753speaks #106,Merchandise
8.54,2017-05-28T00:00:00.000Z,Adam Sanders,Jo Pena,Groceries on Monday 🌮🍉
60.61,2017-05-28T00:00:00.000Z,,Trader Joe's #539 Qps,Health Care
22.47,2017-05-29T00:00:00.000Z,,Publix #719,Travel
87.4,2017-05-29T00:00:00.000Z,Adam Sanders,Cory Maguire,Brunch on Tuesday 🌮🧅
71.39,2017-05-30T00:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
-13.43,2017-05-30T00:00:00.000Z,Lex Curran,Adam Sanders,Snacks on Tuesday 🥥🍅
71.35,2017-05-31T00:00:00.000Z,,Uber Trip I35az,Travel
-97.08,2017-05-31T00:00:00.000Z,Adil Smart,Adam Sanders,Drinks on Monday 🧅🍔
49.42,2017-06-01T00:00:00.000Z,,Mta*metrocard Machine,Dining
-47.42,2017-06-01T00:00:00.000Z,Courtnie Mccarty,Adam Sanders,Brunch on Saturday 🍅🧇
-23.05,2017-06-02T00:00:00.000Z,Devin Hollis,Adam Sanders,Lunch on Sunday 🍊🍎
56.22,2017-06-02T00:00:00.000Z,,Publix #719,Travel
37.41,2017-06-03T00:00:00.000Z,,ConEd,Health Care
47.24,2017-06-03T00:00:00.000Z,,Tuk Tuk Thai Food Loft,Dining
-9.16,2017-06-04T00:00:00.000Z,Everett Dalton,Adam Sanders,Lunch on Friday 🥔🥖
91.95,2017-06-04T00:00:00.000Z,,Qt 838 07008386,Travel
4.1,2017-06-05T00:00:00.000Z,,Mta*metrocard Machine,Health Care
92.54,2017-06-05T00:00:00.000Z,Adam Sanders,Murtaza Becker,Lunch on Thursday 🥥🍅
-30.14,2017-06-06T00:00:00.000Z,Dominick Arellano,Adam Sanders,Dinner on Sunday 🍏🌮
-55.48,2017-06-06T00:00:00.000Z,Kitty John,Adam Sanders,Dinner on Wednesday 🍏🍇
63.48,2017-06-07T00:00:00.000Z,,Best Buy 00006098,Health Care
52.99,2017-06-07T00:00:00.000Z,Adam Sanders,Everett Dalton,Snacks on Thursday 🍞👻
18.57,2017-06-08T00:00:00.000Z,,Gu's Dumplings,Phone/Cable
37.88,2017-06-08T00:00:00.000Z,,Qt 838 07008386,Travel
-58.99,2017-06-09T00:00:00.000Z,Everett Dalton,Adam Sanders,Drinks on Thursday 🤑🥦
-51.14,2017-06-09T00:00:00.000Z,Thelma Stacey,Adam Sanders,Snacks on Friday 🍐🥞
58.81,2017-06-10T00:00:00.000Z,,Ticketmaster,Travel
44.74,2017-06-10T00:00:00.000Z,,ConEd,Phone/Cable
30.71,2017-06-11T00:00:00.000Z,,76 - Gse 76 Los Feliz,Travel
64.71,2017-06-11T00:00:00.000Z,,Playstationnetwork,Travel
50.38,2017-06-12T00:00:00.000Z,,Mta*metrocard Machine,Health Care
57.03,2017-06-12T00:00:00.000Z,,Amagansett Supersav,Health Care
15.47,2017-06-13T00:00:00.000Z,,Qt 761 07007610,Phone/Cable
29.7,2017-06-13T00:00:00.000Z,,Citgo-metro Food & Gas,Health Care
66.35,2017-06-14T00:00:00.000Z,Adam Sanders,Theo Freeman,Brunch on Wednesday 🍕🤠
-97.52,2017-06-14T00:00:00.000Z,Shaurya Horne,Adam Sanders,Lunch on Monday 🍈🧈
37.6,2017-06-15T00:00:00.000Z,Adam Sanders,Shaurya Horne,Dinner on Saturday 🧅🍟
75.29,2017-06-15T00:00:00.000Z,,Mta*metrocard Machine,Travel
62.49,2017-06-16T00:00:00.000Z,,Publix #719,Health Care
90.1,2017-06-16T00:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
30.56,2017-06-17T00:00:00.000Z,Adam Sanders,Camden Merritt,Snacks on Tuesday 🍔🥖
-7.44,2017-06-17T00:00:00.000Z,Theodor Larson,Adam Sanders,Dinner on Friday 🙏🥙
54.68,2017-06-18T00:00:00.000Z,Adam Sanders,Abdurahman Fox,Groceries on Monday 🍍🌶
62.31,2017-06-18T00:00:00.000Z,Adam Sanders,Anthony Palacios,Lunch on Saturday 🍊🥩
77.88,2017-06-19T00:00:00.000Z,,76 - Gse 76 Los Feliz,Health Care
80.85,2017-06-19T00:00:00.000Z,Adam Sanders,Nafeesa Mitchell,Snacks on Friday 🥪🍕
63.66,2017-06-20T00:00:00.000Z,,Karakatta,Other Services
98.65,2017-06-20T00:00:00.000Z,Adam Sanders,Leen Mcgrath,Lunch on Wednesday 🍒🥖
9.91,2017-06-21T00:00:00.000Z,Adam Sanders,Amelia-Lily Pham,Drinks on Tuesday 🥭🥞
-14.67,2017-06-21T00:00:00.000Z,Yousef Walls,Adam Sanders,Drinks on Friday 🍳🍋
6.14,2017-06-22T00:00:00.000Z,,Bp#Azk12 Azk12,Health Care
-0.48,2017-06-22T00:00:00.000Z,Carlo Hodge,Adam Sanders,Brunch on Sunday 🍋🥩
90.27,2017-06-23T00:00:00.000Z,Adam Sanders,Renae Hutchinson,Lunch on Friday 🧅🥑
69.93,2017-06-23T00:00:00.000Z,,Publix #282,Phone/Cable
93.23,2017-06-24T00:00:00.000Z,,Rosati's Pizza- Buckhead,Phone/Cable
82.82,2017-06-24T00:00:00.000Z,,Spectrum,Phone/Cable
12.55,2017-06-25T00:00:00.000Z,,Publix #719,Other Services
80.44,2017-06-25T00:00:00.000Z,,Mta*metrocard Machine,Travel
98.2,2017-06-26T00:00:00.000Z,,Amagansett Supersav,Phone/Cable
95.04,2017-06-26T00:00:00.000Z,Adam Sanders,Courtnie Mccarty,Brunch on Sunday 😍🥕
71.23,2017-06-27T00:00:00.000Z,,Ticketmaster,Phone/Cable
60.8,2017-06-27T00:00:00.000Z,,Record Stop Chs,Merchandise
72.4,2017-06-28T00:00:00.000Z,Adam Sanders,Norman Liu,Brunch on Wednesday 🍖🧇
99.19,2017-06-28T00:00:00.000Z,,Marta Atlanta 00000018,Merchandise
-35.87,2017-06-29T00:00:00.000Z,Hina Couch,Adam Sanders,Groceries on Saturday 🍊🍈
35.02,2017-06-29T00:00:00.000Z,,Sq *dsk Brooklyn,Phone/Cable
35.07,2017-06-30T00:00:00.000Z,Adam Sanders,Hassan Nicholson,Lunch on Saturday 🥬🥕
44.26,2017-06-30T00:00:00.000Z,,Tom's Dim Sum,Travel
90.3,2017-07-01T00:00:00.000Z,,Publix #719,Dining
32.98,2017-07-01T00:00:00.000Z,,CVS,Travel
46.17,2017-07-02T00:00:00.000Z,Adam Sanders,Theodor Larson,Groceries on Thursday 🥑🧇
31.12,2017-07-02T00:00:00.000Z,,Ton Ton,Phone/Cable
98.39,2017-07-03T00:00:00.000Z,Adam Sanders,Omar Nairn,Snacks on Thursday 🍌🧀
2.84,2017-07-03T00:00:00.000Z,,Supercuts,Travel
96.73,2017-07-04T00:00:00.000Z,Adam Sanders,Norman Liu,Dinner on Thursday 🍗🍉
-87.12,2017-07-04T00:00:00.000Z,Paula Gallagher,Adam Sanders,Brunch on Wednesday 🥕🤯
76.64,2017-07-05T00:00:00.000Z,,Ifc Theatres Llc Box Off,Dining
80.58,2017-07-05T00:00:00.000Z,,Comcast Atlanta Cs 1x,Travel
-40.91,2017-07-06T00:00:00.000Z,Camron Ramirez,Adam Sanders,Lunch on Sunday 🧅🥙
-83.79,2017-07-06T00:00:00.000Z,Hassan Nicholson,Adam Sanders,Brunch on Tuesday 🥳🥳
64.84,2017-07-07T00:00:00.000Z,,Sq *fifth Hammer Brewing,Merchandise
17.84,2017-07-07T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
-85.97,2017-07-08T00:00:00.000Z,Jo Pena,Adam Sanders,Tickets on Monday 🥚🍈
99.72,2017-07-08T00:00:00.000Z,,Mta*metrocard Machine,Dining
10.37,2017-07-09T00:00:00.000Z,Adam Sanders,Darcie Ferreira,Breakfast on Saturday 🍈🍔
55.54,2017-07-09T00:00:00.000Z,,Ton Ton,Health Care
68.8,2017-07-10T00:00:00.000Z,Adam Sanders,Everett Dalton,Snacks on Saturday 🥙🍕
-63.55,2017-07-10T00:00:00.000Z,Kelsi Burt,Adam Sanders,Tickets on Friday 🥝🥚
-59.56,2017-07-11T00:00:00.000Z,Dominik Lowe,Adam Sanders,Brunch on Sunday 🧄😋
55.43,2017-07-11T00:00:00.000Z,,Publix #282,Other Services
6.07,2017-07-12T00:00:00.000Z,,Bar Taco Inman Park,Phone/Cable
40.22,2017-07-12T00:00:00.000Z,,Murphy6761atwalmart,Health Care
62.24,2017-07-13T00:00:00.000Z,,Mta*metrocard Machine,Travel
31.95,2017-07-13T00:00:00.000Z,Adam Sanders,Norman Liu,Lunch on Saturday 🥥🍖
-87.75,2017-07-14T00:00:00.000Z,Malachi Cannon,Adam Sanders,Brunch on Saturday 🥨👻
14.43,2017-07-14T00:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
16.2,2017-07-15T00:00:00.000Z,,Bp#4979753speaks #106,Merchandise
14.75,2017-07-15T00:00:00.000Z,,Uber Eats,Health Care
24.19,2017-07-16T00:00:00.000Z,,Rosati's Pizza- Buckhead,Merchandise
31.98,2017-07-16T00:00:00.000Z,Adam Sanders,Leen Mcgrath,Lunch on Saturday 🥒🍏
30.8,2017-07-17T00:00:00.000Z,Adam Sanders,Theodor Larson,Brunch on Saturday 😍🤩
87.88,2017-07-17T00:00:00.000Z,,Ticketmaster,Phone/Cable
-28.93,2017-07-18T00:00:00.000Z,Leen Mcgrath,Adam Sanders,Groceries on Sunday 🥔🥓
30.49,2017-07-18T00:00:00.000Z,,Mirch Masala,Travel
1.32,2017-07-19T00:00:00.000Z,,Taqueria Del Sol Athens,Dining
85.73,2017-07-19T00:00:00.000Z,,Mta*metrocard Machine,Travel
-22.73,2017-07-20T00:00:00.000Z,Carlo Hodge,Adam Sanders,Dinner on Friday 🍌🥪
26.72,2017-07-20T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
-51.47,2017-07-21T00:00:00.000Z,Norman Liu,Adam Sanders,Lunch on Friday 🍐🥑
29.21,2017-07-21T00:00:00.000Z,,Publix #282,Merchandise
96.24,2017-07-22T00:00:00.000Z,,Publix #719,Dining
35.88,2017-07-22T00:00:00.000Z,,Publix #282,Other Services
56.61,2017-07-23T00:00:00.000Z,,Best Buy Mht 00008904,Other Services
-53.59,2017-07-23T00:00:00.000Z,Aarron Timms,Adam Sanders,Drinks on Monday 🍇🍉
53.24,2017-07-24T00:00:00.000Z,,Ifc Theatres Llc Box Off,Health Care
15.28,2017-07-24T00:00:00.000Z,,Qt 838 07008386,Other Services
-71.57,2017-07-25T00:00:00.000Z,Dominick Arellano,Adam Sanders,Groceries on Sunday 😍🥐
50.72,2017-07-25T00:00:00.000Z,Adam Sanders,Nabilah Knowles,Dinner on Saturday 🌮🥕
99.41,2017-07-26T00:00:00.000Z,Adam Sanders,Omar Nairn,Lunch on Saturday 🥒🍖
23.61,2017-07-26T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
58.15,2017-07-27T00:00:00.000Z,,Amazon Mktplace Pmts Www.,Travel
25.48,2017-07-27T00:00:00.000Z,Adam Sanders,Jadene Holding,Drinks on Thursday 🍌🍋
20.12,2017-07-28T00:00:00.000Z,,Ton Ton,Merchandise
92.54,2017-07-28T00:00:00.000Z,,Qt 761 07007610,Phone/Cable
83.23,2017-07-29T00:00:00.000Z,,Atlantic Wines And Liquor,Phone/Cable
69.14,2017-07-29T00:00:00.000Z,Adam Sanders,Kelsi Burt,Groceries on Friday 🍗🥞
13.41,2017-07-30T00:00:00.000Z,,Tst* Sampan,Travel
-44.97,2017-07-30T00:00:00.000Z,Darcie Ferreira,Adam Sanders,Breakfast on Saturday 🍅🧆
48.41,2017-07-31T00:00:00.000Z,,Record Stop Chs,Travel
93.2,2017-07-31T00:00:00.000Z,,Qt 838 07008386,Travel
-36.18,2017-08-01T00:00:00.000Z,Renae Hutchinson,Adam Sanders,Groceries on Saturday 🍖🥚
51.57,2017-08-01T00:00:00.000Z,,Record Stop Chs,Phone/Cable
71.6,2017-08-02T00:00:00.000Z,,Publix #282,Merchandise
78.88,2017-08-02T00:00:00.000Z,Adam Sanders,Everett Dalton,Lunch on Wednesday 🍖🤐
-74.74,2017-08-03T00:00:00.000Z,Darcie Ferreira,Adam Sanders,Snacks on Monday 🥝🍑
-32.08,2017-08-03T00:00:00.000Z,Arron Thorne,Adam Sanders,Snacks on Friday 🥐🥬
11.43,2017-08-04T00:00:00.000Z,,Publix #719,Health Care
94.43,2017-08-04T00:00:00.000Z,,Amagansett Supersav,Phone/Cable
47.04,2017-08-05T00:00:00.000Z,Adam Sanders,Kitty John,Dinner on Tuesday 🥔🤟
29.31,2017-08-05T00:00:00.000Z,,Cinepolis Chelsea,Health Care
90.83,2017-08-06T00:00:00.000Z,,Tst* Sampan,Travel
56.82,2017-08-06T00:00:00.000Z,,Mercantile And Mas,Merchandise
14.58,2017-08-07T00:00:00.000Z,,9640 Amc Online,Other Services
59.25,2017-08-07T00:00:00.000Z,,Fellini's Pizza-buckhe,Other Services
21.49,2017-08-08T00:00:00.000Z,Adam Sanders,Nabilah Knowles,Breakfast on Wednesday 🍔🤐
-81.49,2017-08-08T00:00:00.000Z,Arron Thorne,Adam Sanders,Snacks on Sunday 🥐🍔
55.61,2017-08-09T00:00:00.000Z,Adam Sanders,Oran Crane,Tickets on Thursday 🍇🥙
50.45,2017-08-09T00:00:00.000Z,,Publix #719,Other Services
20.05,2017-08-10T00:00:00.000Z,,ConEd,Travel
71.76,2017-08-10T00:00:00.000Z,,Texaco 0381549,Dining
18.51,2017-08-11T00:00:00.000Z,Adam Sanders,Paula Gallagher,Breakfast on Thursday 🥥🥐
20.23,2017-08-11T00:00:00.000Z,,Amarachi Restaurant,Travel
37.66,2017-08-12T00:00:00.000Z,Adam Sanders,Emilis Jensen,Brunch on Friday 🥒🥵
61.74,2017-08-12T00:00:00.000Z,Adam Sanders,Shaurya Horne,Snacks on Monday 😍🤯
24.12,2017-08-13T00:00:00.000Z,Adam Sanders,Hassan Nicholson,Groceries on Saturday 🍟😋
60.14,2017-08-13T00:00:00.000Z,Adam Sanders,Anthony Palacios,Lunch on Tuesday 😋🥙
54.19,2017-08-14T00:00:00.000Z,,Trader Joe's #539 Qps,Other Services
85.37,2017-08-14T00:00:00.000Z,,Mercantile And Mas,Merchandise
-86.12,2017-08-15T00:00:00.000Z,Malachi Cannon,Adam Sanders,Snacks on Thursday 🥔🤑
28.28,2017-08-15T00:00:00.000Z,,Exxonmobil 47449913,Health Care
4.56,2017-08-16T00:00:00.000Z,,Victory Sandwich Bar - De,Dining
-12.51,2017-08-16T00:00:00.000Z,Murtaza Becker,Adam Sanders,Groceries on Thursday 🧈🥐
51.8,2017-08-17T00:00:00.000Z,,Trader Joe's #539 Qps,Travel
-6.08,2017-08-17T00:00:00.000Z,Dominick Arellano,Adam Sanders,Breakfast on Tuesday 🍍🍆
41.94,2017-08-18T00:00:00.000Z,,ConEd,Other Services
-22.94,2017-08-18T00:00:00.000Z,Emilis Jensen,Adam Sanders,Groceries on Wednesday 🍍🥳
21.96,2017-08-19T00:00:00.000Z,,Vip Market,Health Care
48.29,2017-08-19T00:00:00.000Z,,Bp#8247694circle K St 27,Dining
43.83,2017-08-20T00:00:00.000Z,,Publix #282,Travel
21.82,2017-08-20T00:00:00.000Z,Adam Sanders,Kitty John,Brunch on Wednesday 🙏🥒
99.55,2017-08-21T00:00:00.000Z,Adam Sanders,Hina Couch,Breakfast on Wednesday 🥨🍔
85.98,2017-08-21T00:00:00.000Z,,ConEd,Other Services
-27.23,2017-08-22T00:00:00.000Z,Gemma Avery,Adam Sanders,Lunch on Saturday 🥒🤗
66.34,2017-08-22T00:00:00.000Z,,Amagansett Supersav,Dining
39.82,2017-08-23T00:00:00.000Z,Adam Sanders,Jamal Cole,Drinks on Thursday 🥩🥬
56.45,2017-08-23T00:00:00.000Z,,Amagansett Supersav,Phone/Cable
-62.44,2017-08-24T00:00:00.000Z,Kitty John,Adam Sanders,Tickets on Sunday 🥦🥯
42.58,2017-08-24T00:00:00.000Z,,Taqueria Del Sol Howell,Dining
-49.53,2017-08-25T00:00:00.000Z,Carlo Hodge,Adam Sanders,Tickets on Saturday 🍠🌯
79.6,2017-08-25T00:00:00.000Z,,Murphy6761atwalmart,Merchandise
25.44,2017-08-26T00:00:00.000Z,Adam Sanders,Amelia-Lily Pham,Groceries on Tuesday 🧇🤐
-64.43,2017-08-26T00:00:00.000Z,Dominik Lowe,Adam Sanders,Snacks on Friday 🧀🍗
27.34,2017-08-27T00:00:00.000Z,,Bull Mccabes,Travel
99.34,2017-08-27T00:00:00.000Z,,Megabus.com,Other Services
-44.61,2017-08-28T00:00:00.000Z,Dominik Lowe,Adam Sanders,Drinks on Thursday 🤠🥑
19.95,2017-08-28T00:00:00.000Z,,Spectrum,Travel
93.4,2017-08-29T00:00:00.000Z,Adam Sanders,Todd Mcmillan,Tickets on Wednesday 😋🍟
18.3,2017-08-29T00:00:00.000Z,,Amagansett Supersav,Other Services
76.58,2017-08-30T00:00:00.000Z,,Amagansett Supersav,Other Services
79.18,2017-08-30T00:00:00.000Z,,Publix #719,Health Care
22.54,2017-08-31T00:00:00.000Z,,Tom's Dim Sum,Health Care
6.47,2017-08-31T00:00:00.000Z,,Comcast Atlanta Cs 1x,Phone/Cable
56.25,2017-09-01T00:00:00.000Z,,Playstationnetwork,Dining
67.73,2017-09-01T00:00:00.000Z,Adam Sanders,Thelma Stacey,Brunch on Tuesday 🍑🍓
29.97,2017-09-02T00:00:00.000Z,,Publix #719,Phone/Cable
57.28,2017-09-02T00:00:00.000Z,,Sq *american Whiskey,Travel
78.36,2017-09-03T00:00:00.000Z,,Joy Cafe,Phone/Cable
90.55,2017-09-03T00:00:00.000Z,,Mta*metrocard Machine,Other Services
85.4,2017-09-04T00:00:00.000Z,Adam Sanders,Aarron Timms,Lunch on Wednesday 🥳🥑
68.19,2017-09-04T00:00:00.000Z,,Shell Oil 57446255408,Travel
